Quarter,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Q3 2006,32571174,510592,137867,937882,745621,7631966,12661878,1183562,992314,3421434,4241794,32272,43179,30813
Q4 2006,32680712,510329,137898,937046,744975,7653092,12700994,1183981,993361,3453944,4258655,32361,43197,30879
Q1 2007,32717701,510335,137778,936203,744853,7661583,12702838,1184503,995174,3472771,4265321,32315,43074,30953
Q2 2007,32786014,509131,137708,934995,744938,7674385,12726728,1186430,997550,3490842,4276743,32273,43107,31184
Q3 2007,32889025,509055,137711,935115,745433,7692916,12764806,1189451,1002086,3514147,4290984,32554,43372,31395
Q4 2007,33002138,510262,138026,935379,746138,7713173,12807208,1191690,1007323,3533413,4312042,32662,43262,31560
Q1 2008,33050613,511008,138000,935475,746288,7725513,12814446,1193408,1010304,3548796,4319652,32751,43357,31615
Q2 2008,33127520,511253,138186,935635,746533,7740347,12840272,1194662,1013478,3567458,4331699,32954,43362,31681
Q3 2008,33247118,511581,138749,935897,746877,7761725,12883583,1197775,1017404,3595856,4349336,33083,43360,31892
Q4 2008,33372418,513437,139465,937045,747769,7786475,12927148,1199548,1022553,3619292,4371124,33306,43293,31963
Q1 2009,33427050,514223,139136,937382,748373,7799115,12932234,1201702,1025993,3638482,4381829,33404,43116,32061
Q2 2009,33511275,514719,139206,937429,749161,7817022,12956332,1204014,1029901,3659228,4395190,33582,43106,32385
Q3 2009,33628895,516751,139891,938208,749956,7843383,12998345,1208556,1034819,3678996,4410506,33731,43156,32597
Q4 2009,33757077,518985,140611,940501,751066,7871361,13047485,1211875,1039554,3694303,4431576,34025,42924,32811
Q1 2010,33807529,520283,140612,940823,751281,7885717,13058435,1213933,1042952,3702266,4441329,34007,42970,32921
Q2 2010,33889236,521204,140990,940919,752021,7903339,13088106,1216610,1046799,3714974,4453744,34241,43152,33137
Q3 2010,34004889,522009,141654,942107,753035,7929222,13135778,1220780,1051443,3732082,4465546,34596,43285,33352
Q4 2010,34131683,522865,142732,944179,754287,7955007,13189339,1224662,1056115,3747226,4483609,34789,43303,33570
Q1 2011,34166099,523726,143020,944068,754794,7967185,13198650,1227212,1058963,3754424,4482260,34801,43263,33733
Q2 2011,34230378,524239,143265,943918,754841,7982119,13221999,1229063,1061484,3768773,4488508,34983,43263,33923
Q3 2011,34339328,524999,143963,944274,755705,8005090,13261381,1233649,1066026,3789030,4502104,35411,43504,34192
Q4 2011,34457998,525936,144378,945016,756420,8021860,13308659,1238019,1070687,3807726,4525684,35668,43593,34352
Q1 2012,34516352,526215,144310,944307,757278,8029498,13323332,1242141,1074265,3825072,4536084,35782,43648,34420
Q2 2012,34592779,525655,144472,943746,757270,8039492,13348263,1245692,1077892,3847722,4548438,35843,43701,34593
Q3 2012,34714222,526345,144530,943635,758378,8061101,13390632,1249975,1083755,3874548,4566769,36234,43648,34672
Q4 2012,34836008,527180,144520,943341,758673,8078388,13434943,1254178,1088959,3900333,4590545,36425,43681,34842
Q1 2013,34883119,527248,144175,942598,758298,8082771,13444704,1257940,1091547,3920499,4598255,36373,43737,34974
Q2 2013,34958216,527313,143948,941230,758132,8090916,13467829,1260834,1094390,3946798,4611648,36313,43867,34998
Q3 2013,35082954,527114,144094,940434,758544,8110880,13510781,1264620,1099736,3981011,4630077,36521,43805,35337
Q4 2013,35211866,528117,144103,940105,758670,8124660,13558528,1268428,1103730,4010903,4658875,36448,43756,35543
Q1 2014,35249639,528242,143996,939867,759018,8125478,13562583,1271562,1106374,4029951,4666788,36393,43800,35587
Q2 2014,35323533,527498,143984,938913,758876,8132425,13582747,1274407,1109631,4054280,4684490,36682,43794,35806
Q3 2014,35437435,528159,144283,938545,758976,8150183,13617553,1279014,1112979,4083648,4707103,37137,43884,35971
Q4 2014,35559047,528461,144538,938972,759524,8165447,13661314,1283366,1116203,4106056,4737725,37272,44064,36105
Q1 2015,35575187,528361,144368,938296,759617,8163132,13657737,1286453,1118181,4116047,4745468,37168,44140,36219
Q2 2015,35611271,528063,144259,936271,758948,8163063,13669860,1288094,1118806,4128300,4757759,37372,44193,36283
Q3 2015,35702908,528117,144546,936525,758842,8175272,13707118,1292227,1120967,4144491,4776388,37690,44237,36488
Q4 2015,35822894,528696,144894,938320,759778,8190014,13757688,1297329,1124919,4159519,4802955,37751,44428,36603
Q1 2016,35871136,528800,145202,938690,760580,8193624,13773629,1302544,1127773,4169830,4811465,37770,44507,36722
Q2 2016,35970303,529063,145784,940382,762289,8204085,13816545,1307689,1131147,4181765,4832155,38042,44590,36767
Q3 2016,36109487,529426,146969,942790,763350,8225950,13875394,1314139,1135987,4196061,4859250,38547,44649,36975
Q4 2016,36258726,529900,147936,946030,764844,8249692,13946431,1319911,1140690,4208958,4884002,38750,44542,37040
Q1 2017,36314099,529347,148181,945943,764617,8257450,13971785,1324129,1143313,4217855,4890848,38848,44607,37176
Q2 2017,36398013,528544,148860,947384,764813,8272894,14006386,1328412,1146218,4227969,4905210,39175,44813,37335
Q3 2017,36545236,528249,150402,950108,766621,8302063,14070141,1334790,1150331,4241100,4929384,39610,44891,37546
Q4 2017,36721223,528288,151376,953683,767935,8336460,14150783,1340565,1154755,4258195,4956550,39804,45126,37703
Q1 2018,36798408,527544,151516,953838,768005,8350601,14186830,1344418,1156659,4268853,4967421,39972,45066,37685
Q2 2018,36898431,526395,152039,954618,768522,8367551,14235643,1347055,1158451,4281706,4983183,40141,45320,37807
Q3 2018,37065084,525560,153396,958406,770301,8401738,14308697,1352825,1161767,4298275,5010476,40519,44981,38143
Q4 2018,37250385,525729,155152,963447,772597,8434705,14392903,1357968,1165929,4317665,5040353,40679,44970,38288
Q1 2019,37325235,524803,155254,964073,772828,8447803,14426822,1361820,1168447,4330833,5048144,40854,45202,38352
Q2 2019,37422946,524131,155916,965553,774035,8466531,14467552,1364667,1169397,4344454,5066120,40932,45137,38521
Q3 2019,37601230,523427,157419,970243,777128,8503483,14544701,1369954,1172479,4362576,5094796,41362,45070,38592
Q4 2019,37810038,523889,158760,976483,780597,8542964,14636131,1373845,1176282,4384848,5130780,41648,45186,38625
Q1 2020,37909001,523345,159369,977498,780677,8559876,14686092,1377248,1179135,4401362,5138710,41699,45270,38720
Q2 2020,37986182,522505,160390,979075,782092,8574709,14718133,1379138,1179409,4414332,5150199,42015,45351,38834
Q3 2020,38007166,521359,161305,981691,782996,8576595,14726022,1379888,1178467,4416682,5155495,42163,45346,39157
Q4 2020,38007048,520203,161455,981266,783354,8578733,14721852,1381572,1177980,4421857,5151920,42327,45275,39254
Q1 2021,38043450,519736,161662,981793,784472,8579010,14740102,1384025,1179119,4429077,5157293,42401,45355,39405
Q2 2021,38124373,519694,162866,985238,786529,8585460,14773618,1388726,1181040,4436944,5176360,42719,45660,39519
Q3 2021,38226498,520452,164758,991117,790398,8602335,14809257,1391979,1181493,4443773,5202378,43250,45597,39711
Q4 2021,38426473,521854,166435,998387,795851,8630187,14901607,1395430,1182984,4466124,5238713,43373,45607,39921
Q1 2022,38516138,522501,166858,1002441,799245,8637650,14940912,1398303,1185311,4482385,5251578,43241,45710,40003
Q2 2022,38644920,523043,168358,1007360,802862,8650692,14996014,1401967,1188338,4502858,5273809,43518,45698,40403
Q3 2022,38929902,525972,170688,1019725,812061,8695659,15109416,1409223,1194803,4543111,5319324,43789,45605,40526
Q4 2022,39292355,528818,172707,1030953,820786,8751352,15262660,1420228,1205119,4601314,5368266,43964,45602,40586
Q1 2023,39566248,531948,173954,1037782,825474,8787554,15386407,1431792,1214618,4647178,5399118,44238,45493,40692
